wallet,archetype,coin,dir,qty,entry_ts,entry_px,exit_ts,exit_px,gross_pnl,fees,net_pnl,hold_s,exit_reason
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,3.716592816894292e-05,1786717500000,969.4550300000001,1786717740000,966.92322,9.409706859741376e-05,0.0007098576407604223,-0.0006157605721630085,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.003087869198703119,1786717500000,969.4550300000001,1786717740000,966.92322,0.007817898115968742,0.05906632002385372,-0.05124842190788498,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,2.0131544424844658e-05,1786717500000,969.4550300000001,1786717740000,966.92322,5.096924549026724e-05,0.0004404620033746954,-0.0003894927578844282,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,2.1680124765216478e-05,1786717500000,969.4550300000001,1786717740000,966.92322,5.488995668182412e-05,0.00047479013074794166,-0.00041990017406611755,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0005807176276397543,1786717500000,969.4550300000001,1786717740000,966.92322,0.0014702666968346436,0.012730496425134746,-0.011260229728300103,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,1.8582964084472844e-05,1786717500000,969.4550300000001,1786717740000,966.92322,4.704853429871038e-05,0.0004187633528311971,-0.00037171481853248673,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.00039953372781614956,1786717500000,969.4550300000001,1786717740000,966.92322,0.0010115434874222312,0.009011477460420261,-0.00799993397299803,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0030630919132571574,1786717500000,969.4550300000001,1786717740000,966.92322,0.0077551667369038,0.07044530734831539,-0.0626901406114116,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.006127732406854687,1786717500000,969.4550300000001,1786717740000,966.92322,0.015514254184999158,0.1660136703587236,-0.15049941617372445,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0005853633686608725,1786717500000,969.4550300000001,1786717740000,966.92322,0.0014820288304093212,0.024750668386918518,-0.023268639556509197,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0001997668639080762,1786717500000,969.4550300000001,1786717740000,966.92322,0.0005057717437111192,0.00892792073488636,-0.008422148991175242,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0030630919132571574,1786717500000,969.4550300000001,1786717740000,966.92322,0.0077551667369038,0.1396114998715153,-0.1318563331346115,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0030630919132571574,1786717500000,969.4550300000001,1786717740000,966.92322,0.0077551667369038,0.20095154721150557,-0.19319638047460178,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0030630919132571574,1786717500000,969.4550300000001,1786717740000,966.92322,0.0077551667369038,0.3600994249735037,-0.3523442582365999,240.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.0007789359112074573,1786717500000,969.4550300000001,1786717740000,966.92322,0.0019721177293542023,0.4503389270487473,-0.4483668093193931,240.0,source_flip
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.0375208204667257,1786717740000,966.92322,1786717800000,967.7958600000001,0.03274216877208527,0.032666511264402925,7.565750768234736e-05,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.005602820011890681,1786717740000,966.92322,1786717800000,967.7958600000001,0.004889244855176545,0.004969722274577376,-8.047741940083114e-05,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.00831386195312806,1786717740000,966.92322,1786717800000,967.7958600000001,0.007255008494778058,0.007395646936930308,-0.0001406384421522495,60.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.000592665303926819,1786717740000,966.92322,1786717860000,966.13669,-0.00046614904149754353,0.0005290430292530933,-0.000995192070750637,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.0045364778758892966,1786717740000,966.92322,1786717860000,966.13669,-0.0035680759437230754,0.004050743046979201,-0.007618818990702277,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.0023295426930242534,1786717740000,966.92322,1786717860000,966.13669,-0.0018322552143442976,0.0020850638806173914,-0.0039173190949616885,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.030651877539792607,1786717740000,966.92322,1786717860000,966.13669,-0.02410862124137218,0.027468750057600376,-0.05157737129897255,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.05376339320479627,1786717740000,966.92322,1786717860000,966.13669,-0.042286521657366835,0.04898507853070786,-0.0912716001880747,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.025318450847868705,1786717740000,966.92322,1786717860000,966.13669,-0.01991372114537343,0.023796065260820988,-0.04370978640619441,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.06046019417079618,1786717740000,966.92322,1786717860000,966.13669,-0.047553756521154546,0.057718028815036015,-0.10527178533619055,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.0007557524271349092,1786717740000,966.92322,1786717860000,966.13669,-0.000594421956514398,0.0007509803572519045,-0.0013454023137663025,120.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.0048972757278344615,1786717740000,966.92322,1786717920000,968.7853650000001,0.009119437510208573,0.004874761584596222,0.0042446759256123505,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.004897275727834461,1786717740000,966.92322,1786717920000,968.7853650000001,0.009119437510208571,0.004891544612528791,0.00422789289767978,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.3023009708539809,1786717740000,966.92322,1786717920000,968.7853650000001,0.5629282413709029,0.30299595821082853,0.25993228316007433,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.12191798154541053,1786717740000,966.92322,1786717920000,968.7853650000001,0.2270289597448852,0.16460044977523888,0.062428509969646336,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.12191798154541046,1786717740000,966.92322,1786717920000,968.7853650000001,0.22702895974488507,0.2012894877476853,0.02573947199719978,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.06094387572416254,1786717740000,966.92322,1786717920000,968.7853650000001,0.113486333460374,0.136960513527515,-0.023474180067141016,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.06094387572416254,1786717740000,966.92322,1786717920000,968.7853650000001,0.113486333460374,0.17284408573343638,-0.05935775227306238,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.03225551359011976,1786717740000,966.92322,1786717920000,968.7853650000001,0.06006444335427533,0.12876567576438316,-0.06870123241010782,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.028688362134042772,1786717740000,966.92322,1786717920000,968.7853650000001,0.05342189010609866,0.14942567367935125,-0.09600378357325258,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.06094387572416254,1786717740000,966.92322,1786717920000,968.7853650000001,0.113486333460374,0.4446332068286086,-0.33114687336823456,180.0,source_partial_close
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,long,0.0046554349511513035,1786717740000,966.92322,1786717920000,968.7853650000001,0.0086690949171119,0.45202955276177315,-0.44336045784466127,180.0,source_flip
0x847bd1ef4fede0fe191129894d63044843f4d473,scalper,xyz:MU,short,0.013629670543291691,1786717920000,968.7853650000001,1786717920000,969.7546349999999,-0.013210830767493938,0.011889747690746702,-0.025100578458240642,0.0,source_partial_close
