signal_bucket,entry_time,exit_time,side,entry_price,exit_price,qty,gross_pnl_usd,fees_usd,net_pnl_usd,hold_s
2026-07-26T08:00:00+00:00,2026-07-26T10:00:00+00:00,2026-07-26T16:00:00+00:00,long,64540.25,64704.63,0.01549421,2.5469,0.9011,1.6458,21600
2026-07-27T01:00:00+00:00,2026-07-27T03:00:00+00:00,2026-07-27T09:00:00+00:00,long,65180.57,65105.43,0.01534199,-1.1528,0.8995,-2.0523,21600
2026-07-27T14:00:00+00:00,2026-07-27T16:00:00+00:00,2026-07-27T22:00:00+00:00,long,64547.26,64754.61,0.01549252,3.2124,0.9014,2.3109,21600
2026-07-27T23:00:00+00:00,2026-07-28T01:00:00+00:00,2026-07-28T07:00:00+00:00,long,63484.73,63590.19,0.01575182,1.6612,0.9007,0.7605,21600
2026-07-29T18:00:00+00:00,2026-07-29T20:00:00+00:00,2026-07-30T02:00:00+00:00,long,63593.78,64210.88,0.01572481,9.7037,0.9044,8.7994,21600
2026-07-31T00:00:00+00:00,2026-07-31T02:00:00+00:00,2026-07-31T08:00:00+00:00,long,64563.27,63887.04,0.01548868,-10.4738,0.8953,-11.3691,21600
2026-07-31T12:00:00+00:00,2026-07-31T14:00:00+00:00,2026-07-31T20:00:00+00:00,long,63289.63,62906.53,0.01580038,-6.0531,0.8973,-6.9504,21600
2026-08-01T08:00:00+00:00,2026-08-01T10:00:00+00:00,2026-08-01T16:00:00+00:00,long,63055.51,62950.51,0.01585904,-1.6652,0.8993,-2.5645,21600
2026-08-01T14:00:00+00:00,2026-08-01T16:00:00+00:00,2026-08-01T22:00:00+00:00,long,63013.49,62759.60,0.01586962,-4.0291,0.8982,-4.9273,21600
2026-08-03T01:00:00+00:00,2026-08-03T03:00:00+00:00,2026-08-03T09:00:00+00:00,long,63160.56,62486.74,0.01583266,-10.6684,0.8952,-11.5636,21600
2026-08-03T18:00:00+00:00,2026-08-03T20:00:00+00:00,2026-08-04T02:00:00+00:00,long,63863.92,63791.09,0.01565829,-1.1404,0.8995,-2.0398,21600
2026-08-04T16:00:00+00:00,2026-08-04T18:00:00+00:00,2026-08-05T00:00:00+00:00,long,63975.97,64035.97,0.01563087,0.9378,0.9004,0.0373,21600
2026-08-04T23:00:00+00:00,2026-08-05T01:00:00+00:00,2026-08-05T07:00:00+00:00,long,63993.98,64189.89,0.01562647,3.0614,0.9014,2.1600,21600
2026-08-05T19:00:00+00:00,2026-08-05T21:00:00+00:00,2026-08-06T03:00:00+00:00,long,64827.40,64519.72,0.01542558,-4.7460,0.8979,-5.6439,21600
2026-08-07T07:00:00+00:00,2026-08-07T09:00:00+00:00,2026-08-07T15:00:00+00:00,long,64603.29,64896.54,0.01547909,4.5392,0.9020,3.6372,21600
2026-08-08T11:00:00+00:00,2026-08-08T13:00:00+00:00,2026-08-08T19:00:00+00:00,long,65003.49,64980.49,0.01538379,-0.3537,0.8998,-1.2535,21600
2026-08-09T02:00:00+00:00,2026-08-09T04:00:00+00:00,2026-08-09T10:00:00+00:00,long,64792.38,64821.57,0.01543391,0.4506,0.9002,-0.4496,21600
2026-08-09T23:00:00+00:00,2026-08-10T01:00:00+00:00,2026-08-10T07:00:00+00:00,long,64965.47,65231.37,0.01539279,4.0930,0.9018,3.1911,21600
2026-08-10T15:00:00+00:00,2026-08-10T17:00:00+00:00,2026-08-10T23:00:00+00:00,long,63917.94,63967.00,0.01564506,0.7675,0.9003,-0.1328,21600
2026-08-11T12:00:00+00:00,2026-08-11T14:00:00+00:00,2026-08-11T20:00:00+00:00,long,64200.08,63476.25,0.01557630,-11.2747,0.8949,-12.1696,21600
2026-08-13T20:00:00+00:00,2026-08-13T22:00:00+00:00,2026-08-14T04:00:00+00:00,long,63505.74,63287.34,0.01574661,-3.4390,0.8985,-4.3375,21600
2026-08-14T12:00:00+00:00,2026-08-14T14:00:00+00:00,2026-08-14T20:00:00+00:00,long,62672.32,62919.52,0.01595601,3.9444,0.9018,3.0426,21600
